sushrg,elective,emergency
FF30B,66,259
FF30C,56,259
FF30D,40,259
FF31A,88,259
FF31B,50,259
FF31C,38,259
FF31D,28,259
FF32A,60,259
FF32B,31,259
FF32C,21,259
FF33A,47,259
FF33B,20,259
FF34A,50,259
FF34B,25,259
FF34C,12,259
FF35A,43,259
FF35B,19,424
FF35C,64,424
FF35D,14,424
FF36Z,5,259
FF37A,28,259
FF37B,15,259
FF37C,7,259
FF37D,6,259
FF37E,16,259
FF37F,10,424
FF37G,6,424
FF40A,16,259
FF40B,5,259
FF40C,8,424
FF41A,20,259
FF41B,5,259
FF41C,5,259
FF41D,5,259
FF42A,5,259
FF42B,5,424
FF47Z,5,259
FF48Z,5,259
FF50A,90,259
FF50B,47,259
FF50C,32,259
FF51A,74,259
FF51B,49,259
FF51C,31,259
FF51D,23,259
FF51E,16,259
FF51F,28,424
FF51G,14,424
FF51H,76,424
FF51J,50,424
FF52A,37,259
FF52B,15,259
FF52C,11,259
FF52D,11,424
FF53A,5,259
FF53B,5,424
FF60A,33,259
FF60B,16,259
FF60C,15,259
FF60D,12,259
FF61A,25,259
FF61B,12,259
FF61C,9,259
FF61D,9,424
FF62A,37,259
FF62B,10,259
FF62C,6,259
FF62D,6,259
FF62E,5,424
FF62F,6,424
FF63A,5,259
FF63B,6,424
GA03C,62,257
GA03D,31,257
GA03E,25,257
GA04C,84,257
GA04D,56,257
GA05C,67,257
GA05D,23,257
GA06C,51,257
GA06D,24,257
GA07C,35,257
GA07D,18,257
GA07E,14,257
GA10G,11,448
GA10H,24,257
GA10J,13,257
GA10K,10,257
GA10L,38,257
GA10M,20,257
GA10N,17,257
GA11Z,168,257
GA13A,31,257
GA13B,13,257
GB05F,54,257
GB05G,26,257
GB05H,22,257
GB06E,42,257
GB06F,24,257
GB06G,18,257
GB06H,14,257
GB09D,48,257
GB09E,25,257
GB09F,23,257
GB10Z,5,257
GB11Z,5,257
GB12Z,5,257
GB13Z,5,257
GC01C,52,257
GC01D,29,257
GC01E,31,257
GC01F,16,257
GC12C,44,257
GC12D,37,257
GC12E,24,257
GC12F,22,257
GC12G,29,257
GC12H,20,257
GC12J,11,257
GC12K,10,257
GC17A,69,257
GC17B,46,257
GC17C,34,257
GC17D,48,257
GC17E,30,257
GC17F,22,257
GC17G,33,257
GC17H,21,257
GC17J,12,257
GC17K,9,257
GC18A,27,257
GC18B,8,257
HC20H,67,258
HC20J,57,258
HC20K,35,258
HC20L,19,258
HC20M,9,258
HC21D,178,258
HC21E,25,258
HC26D,35,258
HC26E,15,258
HC26F,5,258
HC27H,50,258
HC27J,18,258
HC27K,52,258
HC27L,29,258
HC27M,15,258
HC27N,5,258
HC28H,113,258
HC28J,61,258
HC28K,44,258
HC28L,30,258
HC28M,19,258
HC29A,25,258
HC29B,5,258
HC30D,75,258
HC30E,26,258
HC31H,104,258
HC31J,65,258
HC31K,115,258
HC31L,69,258
HC31M,40,258
HC31N,29,258
HC32G,32,258
HC32H,24,258
HC32J,8,258
HC32K,5,258
HC50A,142,258
HC50B,44,453
HC51A,113,258
HC51B,41,258
HC51C,31,258
