type,procedure_code
usually_dc,C322
usually_dc,C323
usually_dc,C324
usually_dc,C326
usually_dc,C331
usually_dc,C332
usually_dc,C336
usually_dc,C346
usually_dc,C351
usually_dc,C391
usually_dc,C405
usually_dc,C432
usually_dc,C442
usually_dc,C443
usually_dc,C444
usually_dc,C451
usually_dc,C452
usually_dc,C453
usually_dc,C457
usually_dc,C462
usually_dc,C463
usually_dc,C464
usually_dc,C466
usually_dc,C468
usually_dc,C471
usually_dc,C474
usually_dc,C498
usually_dc,C521
usually_dc,C522
usually_dc,C544
usually_dc,C545
usually_dc,C546
usually_dc,C578
usually_dc,C601
usually_dc,C605
usually_dc,C606
usually_dc,C608
usually_dc,C612
usually_dc,C615
usually_dc,C648
usually_dc,C651
usually_dc,C653
usually_dc,C664
usually_dc,C693
usually_dc,C694
usually_dc,C712
usually_dc,C718
usually_dc,C751
usually_dc,C752
usually_dc,C753
usually_dc,C754
usually_dc,C758
usually_dc,C791
usually_dc,C792
usually_dc,C795
usually_dc,C797
usually_dc,C798
usually_dc,C801
usually_dc,C802
usually_dc,C803
usually_dc,C822
usually_dc,C828
usually_dc,C851
usually_dc,C891
usually_dc,D012
usually_dc,D013
usually_dc,D021
usually_dc,D032
usually_dc,D033
usually_dc,D034
usually_dc,D061
usually_dc,D062
usually_dc,D082
usually_dc,D105
usually_dc,D122
usually_dc,D131
usually_dc,D135
usually_dc,D141
usually_dc,D142
usually_dc,D143
usually_dc,D144
usually_dc,D151
usually_dc,D153
usually_dc,D161
usually_dc,D168
usually_dc,D171
usually_dc,D191
usually_dc,D201
usually_dc,D202
usually_dc,D203
usually_dc,D222
usually_dc,D228
usually_dc,E024
usually_dc,E026
usually_dc,E031
usually_dc,E032
usually_dc,E033
usually_dc,E034
usually_dc,E036
usually_dc,E037
usually_dc,E041
usually_dc,E042
usually_dc,E043
usually_dc,E045
usually_dc,E047
usually_dc,E048
usually_dc,E054
usually_dc,E073
usually_dc,E081
usually_dc,E082
usually_dc,E084
usually_dc,E091
usually_dc,E094
usually_dc,E095
usually_dc,E097
usually_dc,E132
usually_dc,E133
usually_dc,E134
usually_dc,E135
usually_dc,E138
usually_dc,E142
usually_dc,E148
usually_dc,E172
usually_dc,E173
usually_dc,E201
usually_dc,E204
usually_dc,E271
usually_dc,E335
usually_dc,E336
usually_dc,E341
usually_dc,E342
usually_dc,E343
usually_dc,E352
usually_dc,E357
usually_dc,E371
usually_dc,E379
usually_dc,E381
usually_dc,E491
usually_dc,E492
usually_dc,E493
usually_dc,E494
usually_dc,E495
usually_dc,E498
usually_dc,E499
usually_dc,E591
usually_dc,E593
usually_dc,E631
usually_dc,E632
usually_dc,E633
usually_dc,E639
usually_dc,E651
usually_dc,E661
usually_dc,E855
usually_dc,F021
usually_dc,F091
usually_dc,F092
usually_dc,F093
usually_dc,F094
usually_dc,F095
usually_dc,F096
usually_dc,F101
usually_dc,F102
usually_dc,F103
usually_dc,F104
usually_dc,F145
usually_dc,F181
usually_dc,F188
usually_dc,F189
usually_dc,F204
usually_dc,F231
usually_dc,F281
usually_dc,F324
usually_dc,F326
usually_dc,F341
usually_dc,F344
usually_dc,F345
usually_dc,F347
usually_dc,F348
usually_dc,F349
usually_dc,F362
usually_dc,F366
usually_dc,F382
usually_dc,F454
usually_dc,F481
usually_dc,F512
usually_dc,F551
usually_dc,G145
usually_dc,G152
usually_dc,G154
usually_dc,G156
usually_dc,G157
usually_dc,G158
usually_dc,G161
usually_dc,G162
usually_dc,G169
usually_dc,G182
usually_dc,G191
usually_dc,G199
usually_dc,G214
usually_dc,G421
usually_dc,G423
usually_dc,G431
usually_dc,G432
usually_dc,G433
usually_dc,G435
usually_dc,G436
usually_dc,G437
usually_dc,G438
usually_dc,G439
usually_dc,G441
usually_dc,G442
usually_dc,G443
usually_dc,G446
usually_dc,G447
usually_dc,G448
usually_dc,G451
usually_dc,G452
usually_dc,G453
usually_dc,G454
usually_dc,G458
usually_dc,G459
usually_dc,G462
usually_dc,G486
usually_dc,G541
usually_dc,G643
usually_dc,G648
usually_dc,G678
usually_dc,G801
usually_dc,G802
usually_dc,G803
usually_dc,G809
usually_dc,H201
usually_dc,H202
usually_dc,H204
usually_dc,H205
usually_dc,H206
usually_dc,H207
usually_dc,H208
usually_dc,H209
usually_dc,H211
usually_dc,H218
usually_dc,H221
usually_dc,H228
usually_dc,H229
usually_dc,H231
usually_dc,H232
usually_dc,H234
usually_dc,H235
usually_dc,H236
usually_dc,H237
usually_dc,H238
usually_dc,H239
usually_dc,H241
usually_dc,H242
usually_dc,H248
usually_dc,H251
usually_dc,H259
usually_dc,H261
usually_dc,H302
usually_dc,H303
usually_dc,H428
usually_dc,H443
usually_dc,H444
usually_dc,H481
usually_dc,H482
usually_dc,H483
usually_dc,H488
usually_dc,H489
usually_dc,H491
usually_dc,H492
usually_dc,H511
